"ISO","gdp_per_capita","lifeExp"
GL,0.0877402618597711,-0.252700831921198
GD,-0.69788896509717,-0.238451578611064
GP,-0.797990944184296,-0.146539399728108
GU,-0.997665308705107,-0.17005965775501
GT,-0.816830653599105,-0.245969520617751
GG,0.259401495947646,-0.0672807375858558
GN,-0.96847590476151,-0.425624735656485
GW,-0.968617046826997,-0.446088371522222
GY,-0.835902274861668,-0.311192443497892
HT,-0.957994341684049,-0.347074041147149
VA,-0.997483721604393,-0.0110928302115099
HN,-0.884723916748981,-0.226663355643926
HK,0.334692938232092,-0.119220839162701
HU,-0.415662227036632,-0.217639577719606
IS,0.0232984863989285,-0.133739794428232
IN,-0.865185475024497,-0.309855171302382
ID,-0.760740075934811,-0.260196298764936
IR,-0.625280451841451,-0.224067474323231
IQ,-0.618169848418073,-0.276086238970401
IE,0.0651796218566081,-0.149236419282077
IM,0.0283471986811596,0.101282984537182
IL,-0.20010206486302,-0.13694250514857
IT,-0.162640908598053,-0.130379757567246
JM,-0.782162848424604,-0.229944729434588
JP,-0.0804062569417975,-0.116950847704778
JE,0.608443480424882,0.157470891911528
JO,-0.703341483986352,-0.226247565129356
KZ,-0.417426885959558,-0.308484186362448
KE,-0.943825774258929,-0.362649329071318
KI,-0.953870907105463,-0.281862355848483
KP,-0.963894664811989,-0.269568441714977
KR,-0.217050275294221,-0.139931701820885
KW,1,-0.221370454769262
KG,-0.918670206229526,-0.297280317632004
LA,-0.879515778062722,-0.288559954407505
LV,-0.421723947035071,-0.245396403962533
LB,-0.571175550263714,-0.157102726314485
LS,-0.933381453316711,-0.500534453767963
LR,-0.979019579927442,-0.375684923582166
LY,-0.455719311193842,-0.209717082779823
LI,1,0.337272195509436
LT,-0.366029756009155,-0.245845907221528
LU,1,-0.151034432318056
MO,1,-0.152686356794862
MK,-0.688390876260294,-0.211144255627132
MG,-0.964441921931045,-0.328857921576386
MW,-0.980463853577129,-0.434626038417855
MY,-0.408803686881276,-0.213178257874083
MV,-0.708291604388802,-0.180566796434012
ML,-0.95875824028663,-0.437761323649344
MT,-0.243082782126001,-0.159990784753527
MH,-0.9083264813259,0.460885591732997
MQ,-0.620583478268621,-0.141336399505244
MR,-0.920985894759501,-0.364514767596146
MU,-0.569440849535418,-0.228955822264799
YT,-0.750529889244382,-0.166283830379454
MX,-0.580822524000104,-0.185264105490508
FM,-0.910569648751372,-0.280873448678695
MD,-0.88285148521447,-0.281929781337333
MC,0.116587722924046,0.55078624353195
MN,-0.765359047722092,-0.29761744507625
ME,-0.63234442758819,-0.215380823843157
MS,-0.699119968813362,0.584498987956558
MA,-0.817279046988264,-0.25898263996565
MZ,-0.973735919114073,-0.491499438262168
MM,-0.908545526409973,-0.323767297168271
NA,-0.752280531940614,-0.331554941130355
NR,-0.791154882644484,0.640686895330904
NP,-0.943659393002904,-0.287424958678544
NL,0.0896919860505918,-0.145516779813895
NC,-0.0804152159962531,-0.198693015352976
NZ,-0.153616490002356,-0.144460447155258
NI,-0.885828891930131,-0.215178547376609
NE,-0.976764621432529,-0.399812011008711
NG,-0.854202055084764,-0.466147454454863
NU,-0.853961415623724,0.741825128604727
NF,-0.995667850597254,0.753062710079596
MP,-0.739078379132303,0.775537873029335
NO,0.622735578198405,-0.140291304428081
OM,0.24802738115824,-0.195928570310158
PK,-0.885200848350064,-0.308102108592303
PW,-0.614542980495559,0.820488198928812
PA,-0.541767087858815,-0.18464603850939
PG,-0.937091335777676,-0.354726834131535
PY,-0.792263703068998,-0.244171507581772
PE,-0.68978488111888,-0.215324635935783
PH,-0.835916640201291,-0.284132347306407
PN,-0.995356558424601,0.887913687778027
PL,-0.416056078203574,-0.19754678204254
PT,-0.35809397014678,-0.157799456365927
PR,-0.13068264080844,-0.169947281940261
QA,1,-0.175509884770321
RE,-0.801055181384765,-0.161159493226913
RO,-0.535335695496563,-0.226506029503278
RU,-0.388815540845761,-0.292268356294212
RW,-0.962994341423259,-0.336241012605375
BL,-0.995123089295112,0.98905192105185
SH,-0.933460492855485,1
KN,-0.503149333002956,1
LC,-0.743921795744856,-0.21557186272823
MF,-0.995019325237561,1
PM,-0.822082596987093,1
VC,-0.73039831820415,-0.241598101424027
WS,-0.872281118262221,-0.234091396998814
SM,-0.137917951136602,1
ST,-0.931479642330875,-0.310720465075947
SA,0.326939233148514,-0.207986495232693
SN,-0.943016725645589,-0.34315212521242
RS,-0.691502722890715,-0.223943860927007
SC,-0.386114728449969,-0.233743031973093
SL,-0.953179039776993,-0.54419245779783
SG,0.909504729072201,-0.131087725200163
SK,-0.332458755577496,-0.208907976913632
SI,-0.299034565973338,-0.161777560208031
SB,-0.948293342029558,-0.295684581062573
SO,-0.983968453108399,-0.437559047182796
ZA,-0.687619807820021,-0.41658972015069
SS,-0.945175020669527,-0.435154204747174
ES,-0.198105148379855,-0.133582468287584
LK,-0.763157307515181,-0.221314266861888
SD,-0.917261072604227,-0.358839788951337
SR,-0.586228688497984,-0.25810610861061
SJ,-0.994344858863481,1
SZ,-0.838368865328643,-0.505546415105755
SE,0.0926159513211458,-0.136751466263497
CH,0.348420949302543,-0.12791872722425
SY,-0.885054962151298,-0.258319622658632
TW,0.0431750224810827,-0.159990784753527
TJ,-0.936470152899954,-0.300483028352342
TZ,-0.955125083471972,-0.364739519225644
TH,-0.639771523994224,-0.220100608062602
TL,-0.94617779243721,-0.29722412972463
TG,-0.965603372566598,-0.420848763529666
TK,-0.976953152280813,-0.280794785608371
TO,-0.866122658563343,-0.239519148851176
TT,-0.239160450923562,-0.271074277632609
TN,-0.720937880342253,-0.203558888131595
TR,-0.519029165056973,-0.210458763157164
TM,-0.650664626902446,-0.320665724681207
TC,-0.458419470452805,1
TV,-0.870867871798187,1
UG,-0.964685031806412,-0.390821945828815
UA,-0.783334119393436,-0.286132636808934
AE,0.507093454259083,-0.192680909263921
GB,-0.0906496317343989,-0.151034432318056
US,0.335171572075596,-0.169081988166696
UY,-0.516122004122246,-0.188309490070197
UZ,-0.871314766635,-0.289324109947797
VU,-0.927840480026245,-0.251284896655364
VE,-0.544960209707109,-0.217493489160433
VN,-0.867061739060808,-0.202749782265404
VI,-0.993540687417462,-0.155473277000629
WF,-0.902021688183716,1
PS,-0.897701947066825,-0.233563230669495
EH,-0.993462864374299,-0.294684436311309
YE,-0.893259158596004,-0.346961665332401
ZM,-0.920384582359966,-0.403228235777071
ZW,-0.962549404554638,-0.383382666892452
